Media,Event,Time Interval,Sample URLs,Relatedness (crowd),Relatedness (authors),Primary Type (or trigger),Primary Sub-type (or action),Secondary Type (or trigger),Secondary Sub-type (or action),Negativity,Magnitude,Predictability,Elite persons,Conflict,Unexpectedness
News,Religious familiy sails to Kiribati,11 August 2013,http://www.usatoday.com/story/news/nation/2013/08/10/religious-family-abandons-us/2639835/   http://www.theguardian.com/world/2013/aug/15/christians-pacific-voyage-rescue-kiribati,not related to climate change,no (not related to climate change),individuals,generic (campaigns/statements/other)  [individuals],disaster,natural hazards  [disaster],this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Third National Climate Assessment,06-07 May 2014,http://www.usnews.com/news/politics/articles/2014/05/06/fed-report-warming-disrupting-americans-lives   http://www.globalchange.gov/ncadac   http://news.yahoo.com/climate-assessment-warns-dire-effects-alaska-214733926.html,related to climate change,yes (related to climate change),govt (exec & legislative),publication/studies/research  [govt (exec & legislative)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Advertisment campaign for a clean energy solution,24 November 2013,https://twitter.com/CrowdEnergyOrg/status/404422174829604864,related to climate change,yes (related to climate change),for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],not applicable,not applicable,this is good news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
News,Star wars filmmakers in island row,29 July 2014,http://www.dailymail.co.uk/wires/pa/article-2709767/STAR-WARS-FILMMAKERS-IN-ISLAND-ROW.html   http://www.bbc.com/news/uk-northern-ireland-28551785,not related to climate change,no (not related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],media,generic (campaigns/statements/other)  [media],this is neither good nor bad news,the magnitude of this event is low,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an ordinary event
News,Greenpeace protests Procter & Gamble's policy on palm oil,08 April 2014,http://www.greenpeace.org/international/en/press/releases/Public-pressure-tells-as-Procter--Gamble-finally-agrees-to-clean-up-its-palm-oil-act/   http://www.huffingtonpost.com/2014/04/08/palm-oil-procter-gamble_n_5112715.html   http://www.washingtonexaminer.com/pg-changes-palm-oil-policy-following-protests/article/feed/2128024,not related to climate change,borderline (weakly related to climate change),ngos / groups of people,generic (campaigns/statements/other)  [ngos / groups of people],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is good news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this depicts a conflict between two opposing persons/groups,this is an extraordinary event
News,Google buys solar-powered drone maker Titan Aerospace,15 April 2014,http://news.yahoo.com/google-buy-drone-maker-titan-aerospace-180554341--sector.html   http://www.bostonglobe.com/business/2014/04/14/google-buys-drone-maker-titan-aerospace/7pjGh5gdP4YdtDB9ncXRZN/story.html,not related to climate change,borderline (weakly related to climate change),for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this involves someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an ordinary event
Twitter,Study: US Emissions 50 Percent Higher Than EPA Estimates,26 November 2013,http://www.slate.com/blogs/the_slatest/2013/11/25/study_finds_us_emission_of_greenhouse_gas_methane_50_higher_than_epa_estimates.html   http://ecowatch.com/2013/11/26/methane-emissions-higher-than-epa-estimates/,weakly related to climate change,yes (related to climate change),ngos / groups of people,publication/studies/research  [ngos / groups of people],govt (exec & legislative),generic (campaigns/statements/other)  [govt (exec & legislative)],this is bad news,the magnitude of this event is high,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
Twitter,UK/London air pollution,03 April 2014,http://www.bbc.com/news/uk-26863228   http://www.yourlocalguardian.co.uk/news/local/topstories/11123023.Smog_to_stay_in_south_London_for_one_more_day_before_weather_changes/,weakly related to climate change,no (not related to climate change),disaster,human-induced hazards  [disaster],not applicable,not applicable,this is neither good nor bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Sandy 1 year anniversary,29 October 2013,http://www.nbcnews.com/news/us-news/superstorm-sandy-anniversary-one-year-later-thousands-still-not-home-v21215983   http://www.climatecentral.org/news/sandy-didnt-change-a-thing-16669   http://www.denverpost.com/nationworld/ci_24408932/1-year-sandy-survivors-light-up-shore,related to climate change,borderline (weakly related to climate change),disaster,natural hazards  [disaster],not applicable,not applicable,this is bad news,the magnitude of this event is moderate,a member of the public could have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
News,Sinkhole swallows resort in Florida,12 August 2013,http://edition.cnn.com/2013/08/12/us/florida-resort-sinkhole/   http://cnsnews.com/news/article/sinkhole-swallows-part-florida-resort-villa,not related to climate change,no (not related to climate change),disaster,natural hazards  [disaster],for-profit (excl. media),generic (campaigns/statements/other)  [for-profit (excl. media)],this is bad news,the magnitude of this event is moderate,a member of the public could not have know this will happen,"this does not involve someone rich, powerful, or famous",this does not depict a conflict between two opposing persons/groups,this is an extraordinary event
